,Date,Value,Payload,Daily_Gain,Missing_Price,No_Tradable_Day,Market_Out,Change (%),Cum_Gain
50,2000-03-16,-192.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",62.5,False,False,False,-1.8333333333333335,-162.5
51,2000-03-17,-195.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,-1.2,-175.0
52,2000-03-20,-210.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-75.0,False,False,False,5.0,-250.0
53,2000-03-21,-205.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",25.0,False,False,False,-1.3333333333333333,-225.0
54,2000-03-22,-212.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-37.5,False,False,False,-2.5,-262.5
55,2000-03-23,-222.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-50.0,False,False,False,0.33333333333333326,-312.5
56,2000-03-24,-202.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",100.0,False,False,False,-3.0,-212.5
57,2000-03-27,-215.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-62.5,False,False,False,-1.625,-275.0
58,2000-03-28,-207.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,-1.6,-237.5
59,2000-03-29,-205.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,-0.6666666666666667,-225.0
60,2000-03-30,-197.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,2.0,-187.5
61,2000-03-31,-193.75,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,False,-0.5,-168.75
62,2000-04-03,-207.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-68.75,False,False,False,-4.666666666666666,-237.5
63,2000-04-04,-216.25,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-43.75,False,False,False,-0.36363636363636365,-281.25
64,2000-04-05,-217.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-0.8571428571428572,-287.5
65,2000-04-06,-217.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,-287.5
66,2000-04-07,-201.25,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",81.25,False,False,False,inf,-206.25
67,2000-04-10,-204.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'previous_long_future': 'S K00', 'previous_short_future': 'S K01', 'event': {'rolling_over': 1}, 'missing_price_flag': False, 'tradable_day': 0}",-13.75,False,False,False,-1.1692307692307693,-220.0
68,2000-04-11,-192.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'previous_long_future': 'S K00', 'previous_short_future': 'S K01', 'event': {'rolling_over': 2}, 'missing_price_flag': False, 'tradable_day': 0}",57.5,False,False,False,-5.181818181818182,-162.5
69,2000-04-12,-178.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'previous_long_future': 'S K00', 'previous_short_future': 'S K01', 'event': {'rolling_over': 3}, 'missing_price_flag': False, 'tradable_day': 0}",72.5,False,False,False,0.26086956521739135,-90.0
70,2000-04-13,-175.25,"{'long_future': 'S N00', 'short_future': 'S N01', 'previous_long_future': 'S K00', 'previous_short_future': 'S K01', 'event': {'rolling_over': 4}, 'missing_price_flag': False, 'tradable_day': 0}",13.75,False,False,False,-0.8103448275862069,-76.25
71,2000-04-14,-172.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'previous_long_future': 'S K00', 'previous_short_future': 'S K01', 'event': {'rolling_over': 5}, 'missing_price_flag': False, 'tradable_day': 0}",13.75,False,False,False,0.0,-62.5
72,2000-04-17,-170.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,-0.09090909090909094,-50.0
73,2000-04-18,-172.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,-2.0,-62.5
74,2000-04-19,-173.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-0.5,-68.75
75,2000-04-20,-167.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,False,-6.0,-37.5
76,2000-04-21,-167.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 0}",0.0,False,True,False,-1.0,-37.5
77,2000-04-24,-161.25,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,False,inf,-6.25
78,2000-04-25,-162.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-1.2,-12.5
79,2000-04-26,-165.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,1.0,-25.0
80,2000-04-27,-170.0,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,1.0,-50.0
81,2000-04-28,-171.25,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-0.75,-56.25
82,2000-05-01,-161.25,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",50.0,False,False,False,-9.0,-6.25
83,2000-05-02,-153.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,-0.25,31.25
84,2000-05-03,-147.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,False,-0.16666666666666663,62.5
85,2000-05-04,-138.75,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",43.75,False,False,False,0.3999999999999999,106.25
86,2000-05-05,-147.5,"{'long_future': 'S N00', 'short_future': 'S N01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-43.75,False,False,False,-2.0,62.5
